2025-08-31T17:40:19.476485 | INFO     | database             | logging_config.py:248          | log_business_event        | {"event_type": "database_initialization", "user_id": null, "database_url": "sqlite:///./infonomy_server.db"} | Business Event
2025-08-31T17:40:19.482168 | INFO     | database             | logging_config.py:248          | log_business_event        | {"event_type": "database_tables_created", "user_id": null, "tables": ["decision_context_parent_offers", "user", "humanbuyer", "human_seller", "bot_seller", "sellermatcher", "decisioncontext", "infooffer", "matcherinbox"]} | Business Event
2025-08-31T17:42:21.945924 | INFO     | database             | logging_config.py:248          | log_business_event        | {"event_type": "database_initialization", "user_id": null, "database_url": "sqlite:///./infonomy_server.db"} | Business Event
2025-08-31T17:42:21.958728 | INFO     | database             | logging_config.py:248          | log_business_event        | {"event_type": "database_tables_created", "user_id": null, "tables": ["decision_context_parent_offers", "user", "humanbuyer", "human_seller", "bot_seller", "sellermatcher", "decisioncontext", "infooffer", "matcherinbox"]} | Business Event
2025-08-31T17:42:34.647152 | INFO     | database             | logging_config.py:248          | log_business_event        | {"event_type": "database_initialization", "user_id": null, "database_url": "sqlite:///./infonomy_server.db"} | Business Event
2025-08-31T17:42:34.651759 | INFO     | database             | logging_config.py:248          | log_business_event        | {"event_type": "database_tables_created", "user_id": null, "tables": ["decision_context_parent_offers", "user", "humanbuyer", "human_seller", "bot_seller", "sellermatcher", "decisioncontext", "infooffer", "matcherinbox"]} | Business Event
2025-08-31T17:43:19.590972 | INFO     | database             | logging_config.py:248          | log_business_event        | {"event_type": "database_initialization", "user_id": null, "database_url": "sqlite:///./infonomy_server.db"} | Business Event
2025-08-31T17:43:19.601803 | INFO     | database             | logging_config.py:248          | log_business_event        | {"event_type": "database_tables_created", "user_id": null, "tables": ["decision_context_parent_offers", "user", "humanbuyer", "human_seller", "bot_seller", "sellermatcher", "decisioncontext", "infooffer", "matcherinbox"]} | Business Event
2025-08-31T17:46:36.997918 | INFO     | database             | logging_config.py:248          | log_business_event        | {"event_type": "database_initialization", "user_id": null, "database_url": "sqlite:///./infonomy_server.db"} | Business Event
2025-08-31T17:46:37.002397 | INFO     | database             | logging_config.py:248          | log_business_event        | {"event_type": "database_tables_created", "user_id": null, "tables": ["decision_context_parent_offers", "user", "humanbuyer", "human_seller", "bot_seller", "sellermatcher", "decisioncontext", "infooffer", "matcherinbox"]} | Business Event
2025-08-31T17:53:51.787453 | INFO     | database             | logging_config.py:248          | log_business_event        | {"event_type": "database_initialization", "user_id": null, "database_url": "sqlite:///./infonomy_server.db"} | Business Event
2025-08-31T17:53:51.981417 | INFO     | database             | logging_config.py:248          | log_business_event        | {"event_type": "database_tables_created", "user_id": null, "tables": ["decision_context_parent_offers", "user", "humanbuyer", "human_seller", "bot_seller", "sellermatcher", "decisioncontext", "infooffer", "matcherinbox"]} | Business Event
2025-08-31T17:56:51.615047 | INFO     | database             | logging_config.py:248          | log_business_event        | {"event_type": "database_initialization", "user_id": null, "database_url": "sqlite:///./infonomy_server.db"} | Business Event
2025-08-31T17:56:51.621228 | INFO     | database             | logging_config.py:248          | log_business_event        | {"event_type": "database_tables_created", "user_id": null, "tables": ["decision_context_parent_offers", "user", "humanbuyer", "human_seller", "bot_seller", "sellermatcher", "decisioncontext", "infooffer", "matcherinbox"]} | Business Event
2025-08-31T18:02:33.980078 | INFO     | database             | logging_config.py:248          | log_business_event        | {"event_type": "database_initialization", "user_id": null, "database_url": "sqlite:///./infonomy_server.db"} | Business Event
2025-08-31T18:02:33.989791 | INFO     | database             | logging_config.py:248          | log_business_event        | {"event_type": "database_tables_created", "user_id": null, "tables": ["decision_context_parent_offers", "user", "humanbuyer", "human_seller", "bot_seller", "sellermatcher", "decisioncontext", "infooffer", "matcherinbox"]} | Business Event
2025-08-31T18:02:48.316815 | INFO     | database             | database.py:10                 | create_db_and_tables      | {"event_type": "database_initialization", "user_id": null, "database_url": "sqlite:///./infonomy_server.db"} | Business Event
2025-08-31T18:02:48.328991 | INFO     | database             | database.py:14                 | create_db_and_tables      | {"event_type": "database_tables_created", "user_id": null, "tables": ["decision_context_parent_offers", "user", "humanbuyer", "human_seller", "bot_seller", "sellermatcher", "decisioncontext", "infooffer", "matcherinbox"]} | Business Event
2025-08-31T18:02:57.730238 | INFO     | database             | database.py:10                 | create_db_and_tables      | {"event_type": "database_initialization", "user_id": null, "database_url": "sqlite:///./infonomy_server.db"} | Business Event
