2025-08-31T17:40:15.495385 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T17:40:19.482420 | INFO     | general              | logging_config.py:248          | log_business_event        | {"event_type": "application_startup", "user_id": null, "app_title": "Q&A Platform API", "app_version": "1.0.0"} | Business Event
2025-08-31T17:41:17.830670 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T17:41:17.831162 | INFO     | general              | unknown                        | unknown                   | {} | General log test message
2025-08-31T17:41:17.831493 | INFO     | general              | logging_config.py:248          | log_business_event        | {"event_type": "test_event", "user_id": 123, "test_param": "test_value", "number": 42} | Business Event
2025-08-31T17:41:17.836345 | ERROR    | general              | logging_config.py:171          | log_function_error        | {"arg1": "value1"} | Function error: test_function
Traceback (most recent call last):
  File "/home/manyu/gdrive/Gittable/code/infonomy/test_logging.py", line 78, in test_logging_system
    raise ValueError("Test error for logging")
ValueError: Test error for logging
2025-08-31T17:42:13.768717 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T17:42:21.959232 | INFO     | general              | logging_config.py:248          | log_business_event        | {"event_type": "application_startup", "user_id": null, "app_title": "Q&A Platform API", "app_version": "1.0.0"} | Business Event
2025-08-31T17:42:30.945365 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T17:42:34.652057 | INFO     | general              | logging_config.py:248          | log_business_event        | {"event_type": "application_startup", "user_id": null, "app_title": "Q&A Platform API", "app_version": "1.0.0"} | Business Event
2025-08-31T17:43:15.657924 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T17:43:19.602216 | INFO     | general              | logging_config.py:248          | log_business_event        | {"event_type": "application_startup", "user_id": null, "app_title": "Q&A Platform API", "app_version": "1.0.0"} | Business Event
2025-08-31T17:46:16.707543 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T17:46:28.564332 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T17:46:33.429634 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T17:46:37.002652 | INFO     | general              | logging_config.py:248          | log_business_event        | {"event_type": "application_startup", "user_id": null, "app_title": "Q&A Platform API", "app_version": "1.0.0"} | Business Event
2025-08-31T17:53:31.241855 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T17:53:42.188629 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T17:53:47.665084 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T17:53:51.981931 | INFO     | general              | logging_config.py:248          | log_business_event        | {"event_type": "application_startup", "user_id": null, "app_title": "Q&A Platform API", "app_version": "1.0.0"} | Business Event
2025-08-31T17:56:47.937090 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T17:56:51.621613 | INFO     | general              | logging_config.py:248          | log_business_event        | {"event_type": "application_startup", "user_id": null, "app_title": "Q&A Platform API", "app_version": "1.0.0"} | Business Event
2025-08-31T17:57:25.273796 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T18:02:29.595632 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T18:02:33.990201 | INFO     | general              | logging_config.py:248          | log_business_event        | {"event_type": "application_startup", "user_id": null, "app_title": "Q&A Platform API", "app_version": "1.0.0"} | Business Event
2025-08-31T18:02:42.780232 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T18:02:48.329498 | INFO     | general              | main.py:25                     | on_startup                | {"event_type": "application_startup", "user_id": null, "app_title": "Q&A Platform API", "app_version": "1.0.0"} | Business Event
2025-08-31T18:02:51.530030 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T18:02:57.741690 | INFO     | general              | main.py:25                     | on_startup                | {"event_type": "application_startup", "user_id": null, "app_title": "Q&A Platform API", "app_version": "1.0.0"} | Business Event
2025-08-31T18:03:00.685226 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T18:03:05.759192 | INFO     | general              | main.py:25                     | on_startup                | {"event_type": "application_startup", "user_id": null, "app_title": "Q&A Platform API", "app_version": "1.0.0"} | Business Event
2025-08-31T18:03:12.351923 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T18:03:17.569821 | INFO     | general              | main.py:25                     | on_startup                | {"event_type": "application_startup", "user_id": null, "app_title": "Q&A Platform API", "app_version": "1.0.0"} | Business Event
2025-08-31T18:05:56.197117 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T18:05:56.197400 | INFO     | general              | unknown:0                      | unknown                   | {"event_type": "test_function_called", "user_id": 123, "test_param": "test_value", "number": 42} | Business Event
2025-08-31T18:06:10.931921 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T18:06:10.932189 | INFO     | general              | test_logging_fixes.py:25       | test_function_with_logging | {"event_type": "test_function_called", "user_id": 123, "test_param": "test_value", "number": 42} | Business Event
2025-08-31T18:06:32.385062 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T18:06:39.513335 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T18:06:43.144476 | INFO     | general              | logging_config.py:0            | module_init               | {"logs_directory": ".logs", "max_log_size_mb": 10, "backup_count": 5} | Logging system initialized
2025-08-31T18:06:45.914070 | INFO     | general              | main.py:25                     | on_startup                | {"event_type": "application_startup", "user_id": null, "app_title": "Q&A Platform API", "app_version": "1.0.0"} | Business Event
