2025-08-31T17:41:17.831933 | INFO     | api                  | logging_config.py:189          | log_api_request           | {"method": "GET", "path": "/api/test", "user_id": 123, "query_params": {"page": "1"}, "headers": {"User-Agent": "test-agent"}} | API Request
2025-08-31T17:41:17.832657 | INFO     | api                  | logging_config.py:201          | log_api_response          | {"method": "GET", "path": "/api/test", "status_code": 200, "response_time_ms": 150.0, "user_id": 123} | API Response
2025-08-31T17:44:16.793716 | INFO     | api                  | logging_config.py:189          | log_api_request           | {"method": "POST", "path": "/questions/1/inspect", "user_id": null, "query_params": {}, "headers": {"host": "localhost:8000", "accept-encoding": "identity", "content-length": "0", "accept": "application/json", "user-agent": "OpenAPI-Generator/1.0.0/python", "authorization": "Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxIiwiYXVkIjpbImZhc3RhcGktdXNlcnM6YXV0aCJdLCJleHAiOjE3NTY2ODc0NDV9.Hno0EkNfQYNMn3iBHobujxZE_NW22axPwhMJ7Y0HtgM"}, "body": null} | API Request
2025-08-31T17:44:16.807010 | INFO     | api                  | logging_config.py:201          | log_api_response          | {"method": "POST", "path": "/questions/1/inspect", "status_code": 401, "response_time_ms": 13.64, "user_id": null} | API Response
2025-08-31T17:44:44.914479 | INFO     | api                  | logging_config.py:189          | log_api_request           | {"method": "GET", "path": "/openapi.json", "user_id": null, "query_params": {}, "headers": {"accept": "application/json, application/yaml, */*", "user-agent": "Apache-HttpClient/Swagger", "host": "localhost:8000", "connection": "keep-alive"}, "body": null} | API Request
2025-08-31T17:44:45.018580 | INFO     | api                  | logging_config.py:201          | log_api_response          | {"method": "GET", "path": "/openapi.json", "status_code": 200, "response_time_ms": 104.19, "user_id": null} | API Response
2025-08-31T17:44:45.714974 | INFO     | api                  | logging_config.py:189          | log_api_request           | {"method": "GET", "path": "/openapi.json", "user_id": null, "query_params": {}, "headers": {"accept": "application/json, application/yaml, */*", "user-agent": "Apache-HttpClient/Swagger", "host": "localhost:8000", "connection": "keep-alive"}, "body": null} | API Request
2025-08-31T17:44:45.718187 | INFO     | api                  | logging_config.py:201          | log_api_response          | {"method": "GET", "path": "/openapi.json", "status_code": 200, "response_time_ms": 3.34, "user_id": null} | API Response
2025-08-31T17:44:52.802081 | INFO     | api                  | logging_config.py:189          | log_api_request           | {"method": "GET", "path": "/openapi.json", "user_id": null, "query_params": {}, "headers": {"accept": "application/json, application/yaml, */*", "user-agent": "Apache-HttpClient/Swagger", "host": "localhost:8000", "connection": "keep-alive"}, "body": null} | API Request
2025-08-31T17:44:52.804466 | INFO     | api                  | logging_config.py:201          | log_api_response          | {"method": "GET", "path": "/openapi.json", "status_code": 200, "response_time_ms": 2.53, "user_id": null} | API Response
2025-08-31T17:44:53.444952 | INFO     | api                  | logging_config.py:189          | log_api_request           | {"method": "GET", "path": "/openapi.json", "user_id": null, "query_params": {}, "headers": {"accept": "application/json, application/yaml, */*", "user-agent": "Apache-HttpClient/Swagger", "host": "localhost:8000", "connection": "keep-alive"}, "body": null} | API Request
2025-08-31T17:44:53.449514 | INFO     | api                  | logging_config.py:201          | log_api_response          | {"method": "GET", "path": "/openapi.json", "status_code": 200, "response_time_ms": 4.72, "user_id": null} | API Response
2025-08-31T17:52:49.811455 | INFO     | api                  | logging_config.py:189          | log_api_request           | {"method": "GET", "path": "/users/", "user_id": null, "query_params": {}, "headers": {"host": "localhost:8000", "connection": "keep-alive", "sec-ch-ua": "\"Google Chrome\";v=\"137\", \"Chromium\";v=\"137\", \"Not/A)Brand\";v=\"24\"", "sec-ch-ua-mobile": "?0", "sec-ch-ua-platform": "\"Linux\"", "upgrade-insecure-requests": "1", "user-agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36", "accept": "text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7", "sec-fetch-site": "none", "sec-fetch-mode": "navigate", "sec-fetch-user": "?1", "sec-fetch-dest": "document", "accept-encoding": "gzip, deflate, br, zstd", "accept-language": "en-GB,en-US;q=0.9,en;q=0.8"}, "body": null} | API Request
2025-08-31T17:52:50.037367 | INFO     | api                  | logging_config.py:201          | log_api_response          | {"method": "GET", "path": "/users/", "status_code": 200, "response_time_ms": 226.23, "user_id": null} | API Response
2025-08-31T17:52:51.428822 | INFO     | api                  | logging_config.py:189          | log_api_request           | {"method": "GET", "path": "/favicon.ico", "user_id": null, "query_params": {}, "headers": {"host": "localhost:8000", "connection": "keep-alive", "sec-ch-ua-platform": "\"Linux\"", "user-agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36", "sec-ch-ua": "\"Google Chrome\";v=\"137\", \"Chromium\";v=\"137\", \"Not/A)Brand\";v=\"24\"", "sec-ch-ua-mobile": "?0", "accept": "image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8", "sec-fetch-site": "same-origin", "sec-fetch-mode": "no-cors", "sec-fetch-dest": "image", "referer": "http://localhost:8000/users/", "accept-encoding": "gzip, deflate, br, zstd", "accept-language": "en-GB,en-US;q=0.9,en;q=0.8"}, "body": null} | API Request
2025-08-31T17:52:51.432014 | INFO     | api                  | logging_config.py:201          | log_api_response          | {"method": "GET", "path": "/favicon.ico", "status_code": 404, "response_time_ms": 3.38, "user_id": null} | API Response
2025-08-31T17:52:58.790525 | INFO     | api                  | logging_config.py:189          | log_api_request           | {"method": "POST", "path": "/auth/register", "user_id": null, "query_params": {}, "headers": {"host": "localhost:8000", "user-agent": "python-requests/2.32.5", "accept-encoding": "gzip, deflate", "accept": "*/*", "connection": "keep-alive", "content-length": "83", "content-type": "application/json"}, "body": null} | API Request
2025-08-31T17:52:58.815502 | INFO     | api                  | logging_config.py:201          | log_api_response          | {"method": "POST", "path": "/auth/register", "status_code": 400, "response_time_ms": 25.15, "user_id": null} | API Response
2025-08-31T17:52:58.826416 | INFO     | api                  | logging_config.py:189          | log_api_request           | {"method": "POST", "path": "/auth/jwt/login", "user_id": null, "query_params": {}, "headers": {"host": "localhost:8000", "user-agent": "python-requests/2.32.5", "accept-encoding": "gzip, deflate", "accept": "*/*", "connection": "keep-alive", "content-length": "50", "content-type": "application/x-www-form-urlencoded"}, "body": null} | API Request
2025-08-31T17:52:59.013411 | INFO     | api                  | logging_config.py:201          | log_api_response          | {"method": "POST", "path": "/auth/jwt/login", "status_code": 200, "response_time_ms": 187.32, "user_id": null} | API Response
2025-08-31T17:52:59.024224 | INFO     | api                  | logging_config.py:189          | log_api_request           | {"method": "POST", "path": "/buyers", "user_id": null, "query_params": {}, "headers": {"host": "localhost:8000", "accept-encoding": "identity", "content-length": "219", "accept": "application/json", "content-type": "application/json", "user-agent": "OpenAPI-Generator/1.0.0/python", "authorization": "Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxIiwiYXVkIjpbImZhc3RhcGktdXNlcnM6YXV0aCJdLCJleHAiOjE3NTY2OTE1Nzh9.VZdj8_2kp6qRISMYvv8pyrW0Dm-o0x-1WbWkvsCx1d4"}, "body": {"default_child_llm": {"name": "gpt-4o_basic", "description": "basic GPT-4o LLM buyer", "model": "openrouter/openai/chatgpt-4o-latest", "custom_prompt": "Do it properly.", "max_budget": 50.0}, "default_max_budget": 0.0}} | API Request
2025-08-31T17:52:59.048133 | INFO     | api                  | logging_config.py:201          | log_api_response          | {"method": "POST", "path": "/buyers", "status_code": 500, "response_time_ms": 25.25, "user_id": null} | API Response
2025-08-31T17:53:59.278596 | INFO     | api                  | logging_config.py:189          | log_api_request           | {"method": "POST", "path": "/auth/register", "user_id": null, "query_params": {}, "headers": {"host": "localhost:8000", "user-agent": "python-requests/2.32.5", "accept-encoding": "gzip, deflate", "accept": "*/*", "connection": "keep-alive", "content-length": "83", "content-type": "application/json"}, "body": null} | API Request
2025-08-31T17:53:59.776527 | INFO     | api                  | logging_config.py:201          | log_api_response          | {"method": "POST", "path": "/auth/register", "status_code": 201, "response_time_ms": 498.66, "user_id": null} | API Response
2025-08-31T17:53:59.784254 | INFO     | api                  | logging_config.py:189          | log_api_request           | {"method": "POST", "path": "/auth/jwt/login", "user_id": null, "query_params": {}, "headers": {"host": "localhost:8000", "user-agent": "python-requests/2.32.5", "accept-encoding": "gzip, deflate", "accept": "*/*", "connection": "keep-alive", "content-length": "50", "content-type": "application/x-www-form-urlencoded"}, "body": null} | API Request
2025-08-31T17:53:59.967705 | INFO     | api                  | logging_config.py:201          | log_api_response          | {"method": "POST", "path": "/auth/jwt/login", "status_code": 200, "response_time_ms": 183.55, "user_id": null} | API Response
2025-08-31T17:53:59.981132 | INFO     | api                  | logging_config.py:189          | log_api_request           | {"method": "POST", "path": "/buyers", "user_id": null, "query_params": {}, "headers": {"host": "localhost:8000", "accept-encoding": "identity", "content-length": "219", "accept": "application/json", "content-type": "application/json", "user-agent": "OpenAPI-Generator/1.0.0/python", "authorization": "Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxIiwiYXVkIjpbImZhc3RhcGktdXNlcnM6YXV0aCJdLCJleHAiOjE3NTY2OTE2Mzl9.wgqSpqnk2pWW4ejMtdJ17-b49_RjZj5PulccA7-bkd8"}, "body": {"default_child_llm": {"name": "gpt-4o_basic", "description": "basic GPT-4o LLM buyer", "model": "openrouter/openai/chatgpt-4o-latest", "custom_prompt": "Do it properly.", "max_budget": 50.0}, "default_max_budget": 0.0}} | API Request
2025-08-31T17:54:00.036229 | INFO     | api                  | logging_config.py:201          | log_api_response          | {"method": "POST", "path": "/buyers", "status_code": 200, "response_time_ms": 55.21, "user_id": null} | API Response
